V2.3,UID,Old Input tester,Input to test,Input to Entity Under Test,Output,Pattern name,Type,Message Under Test,Test Name,Description,Entity under test,Input for generated MR: message to handle,Input for generated MR: Oracle,Requirement,Requirement Source,Profile,Cases,Related to,Type MIG,Severity,Reasons  for chosen Severity,Reference OAuch,Reference OpenID Connect Conformance Profiles v3.0,Reference spid-cie-oidc-django unit test,Reference Test MIG for CIE Core Web,Reference IPZS Test plan document,Reference spid-oidc-check-op,Note,Has Reference,Checked,Divider,Implementation dependent,Session in spid-oidc-cie-django,"Stato del test [E= Eseguito, N= Non eseguito, ND= Non definito, ToDo= Da Eseguire]",Motivazione,Spid-cie-oidc-django result,"Versione Django Feb,21 2024 - 87467470e7c491e91d0e6bb95ada85ec6f71ca77",Test,Django v2.2
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_alg_values_supported-presence,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the id_token_encryption_alg_values_supported parameter is present in the openid_provider type, not compliant otherwise",JWT parameter presence,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain the id_token_encryption_alg_values_supported parameter,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the id_token_encryption_alg_values_supported parameter inside the openid_provider type is checked.",TA,,Entity Statement response TA OP | body | [^\r\n]* | payload | metadata_policy.intermediary.id_token_encryption_alg_values_supported,The id_token_encryption_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response ALL-BODY-PAYLOAD-metadata_policy_TA-value,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,F,failed,[SAME] Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_alg_values_supported-type,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the id_token_encryption_alg_values_supported parameter is present in the openid_provider type and must be a JSON Object, not compliant otherwise",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain a correct id_token_encryption_alg_values_supported parameter type,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the id_token_encryption_alg_values_supported parameter inside the openid_provider type is checked. Must be a JSON Object.",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | metadata_policy.intermediary.id_token_encryption_alg_values_supported | {""type"": ""object""}",The id_token_encryption_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_alg_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,F,failed,[SAME] Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_alg_values_supported-value,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the id_token_encryption_alg_values_supported parameter is present in the openid_provider type and contain superset_of=[""RSA-OAEP"", ""RSA-OAEP-256""], subset_of=[""RSA-OAEP"", ""RSA-OAEP-256"", ""ECDH-ES"", ""ECDH-ES+A128KW"", ""ECDH-ES+A256KW""] AND {""essential"":true}, not compliant otherwise",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain a correct id_token_encryption_alg_values_supported parameter value,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the id_token_encryption_alg_values_supported parameter inside the openid_provider type is checked. Must contain superset_of=[""RSA-OAEP"", ""RSA-OAEP-256""], subset_of=[""RSA-OAEP"", ""RSA-OAEP-256"", ""ECDH-ES"", ""ECDH-ES+A128KW"", ""ECDH-ES+A256KW""] AND {""essential"":true}",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | metadata_policy.intermediary.id_token_encryption_alg_values_supported | {""type"": ""object"",""properties"": {""superset_of"": {""type"": ""array"",""items"": {""type"": ""string"",""enum"": [""RSA-OAEP"",""RSA-OAEP-256""]}},""subset_of"": {""type"": ""array"",""items"": {""type"": ""string"",""enum"": [""RSA-OAEP"",""RSA-OAEP-256"", ""ECDH-ES"", ""ECDH-ES+A128KW"", ""ECDH-ES+A256KW""]}},""essential"": {""type"": ""boolean"",""const"": true}},""required"": [""superset_of"",""subset_of"",""essential""]}",The id_token_encryption_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_alg_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,F,failed,[SAME] Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_alg_values_supported-wrong_value,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the id_token_encryption_alg_values_supported parameter is present in the openid_provider type and does not contain the value ['RSA_1_5'], not compliant otherwise",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain a correct id_token_encryption_alg_values_supported parameter value,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the id_token_encryption_alg_values_supported parameter inside the openid_provider type is checked. Must not contain the value ['RSA_1_5']",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | metadata_policy.intermediary.id_token_encryption_alg_values_supported | {""type"": ""object"",""properties"": {""superset_of"": {""not"": {""contains"": {""enum"": [""RSA_1_5""]}}},""subset_of"": {""not"": {""contains"": {""enum"": [""RSA_1_5""]}}}},""required"": [""superset_of"",""subset_of""]}",The id_token_encryption_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_alg_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,F,failed,[SAME] Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_enc_values_supported-presence,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the id_token_encryption_enc_values_supported parameter is present in the openid_provider type, not compliant otherwise",JWT parameter presence,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain the id_token_encryption_enc_values_supported parameter,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the id_token_encryption_enc_values_supported parameter inside the openid_provider type is checked.",TA,,Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.id_token_encryption_enc_values_supported,The id_token_encryption_enc_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response ALL-BODY-PAYLOAD-metadata_policy_TA-value,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,Titolo non trovato,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_enc_values_supported-type,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the id_token_encryption_enc_values_supported parameter is present in the openid_provider type and must be a JSON Object, not compliant otherwise",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain a correct id_token_encryption_enc_values_supported parameter type,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the id_token_encryption_enc_values_supported parameter inside the openid_provider type is checked. It must be a JSON Object.",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.id_token_encryption_enc_values_supported | {""type"": ""object""}",The id_token_encryption_enc_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_enc_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,Titolo non trovato,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_enc_values_supported-value,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the id_token_encryption_enc_values_supported parameter is present in the openid_provider type and contains the value superset_of=[""A128CBC-HS256"", ""A128CBC-HS512""], subset_of=[""A128CBC-HS256"", ""A128CBC-HS512""] AND {""essential"":true}, not compliant otherwise",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain a correct id_token_encryption_enc_values_supported parameter value,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the id_token_encryption_enc_values_supported parameter inside the openid_provider type is checked. It must contain superset_of=[""A128CBC-HS256"", ""A128CBC-HS512""], subset_of=[""A128CBC-HS256"", ""A128CBC-HS512""] AND {""essential"":true}",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.id_token_encryption_enc_values_supported | {""type"": ""object"",""properties"": {""superset_of"": {""type"": ""array"",""items"": {""type"": ""string"",""enum"": [""A128CBC-HS256"",""A128CBC-HS512""]}},""subset_of"": {""type"": ""array"",""items"": {""type"": ""string"",""enum"": [""A128CBC-HS256"",""A128CBC-HS512""]}},""essential"": {""type"": ""boolean"",""const"": true}},""required"": [""superset_of"",""subset_of"",""essential""]}",The id_token_encryption_enc_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-id_token_encryption_enc_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,failed,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_signing_alg_values_supported-presence,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the userinfo_signing_alg_values_supported parameter is present in the openid_provider type, not compliant if is missing or empty",JWT parameter presence,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain the userinfo_signing_alg_values_supported parameter,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the userinfo_signing_alg_values_supported parameter inside the openid_provider type is checked.",TA,,Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.userinfo_signing_alg_values_supported,The userinfo_signing_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response ALL-BODY-PAYLOAD-metadata_policy_TA-value,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,Titolo non trovato,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_signing_alg_values_supported-type,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the userinfo_signing_alg_values_supported parameter is present in the openid_provider type and must be a JSON Object, not compliant if is missing or empty",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain a correct userinfo_signing_alg_values_supported parameter type,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the userinfo_signing_alg_values_supported parameter inside the openid_provider type is checked. It must be a JSON Object.",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.userinfo_signing_alg_values_supported | {""type"": ""object""}",The userinfo_signing_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_signing_alg_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,Titolo non trovato,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_signing_alg_values_supported-value,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the userinfo_signing_alg_values_supported parameter is present in the openid_provider type and contains the value superset_of=[""RS256"", ""RS512""], subset_of=[""RS256"", ""RS512"", ""ES256"", ""ES512"", ""PS256"", ""PS512""] AND {""essential"":true}, not compliant if is missing or empty",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain a correct userinfo_signing_alg_values_supported parameter value,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the userinfo_signing_alg_values_supported parameter inside the openid_provider type is checked. It must contain superset_of=[""RS256"", ""RS512""], subset_of=[""RS256"", ""RS512"", ""ES256"", ""ES512"", ""PS256"", ""PS512""] AND {""essential"":true}",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.userinfo_signing_alg_values_supported | {""type"": ""object"",""properties"": {""superset_of"": {""type"": ""array"",""items"": {""type"": ""string"",""enum"": [""RS256"",""RS512""]}},""subset_of"": {""type"": ""array"",""items"": {""type"": ""string"",""enum"": [""RS256"",""RS512"", ""ES256"", ""ES512"", ""PS256"",""PS512""]}},""essential"": {""type"": ""boolean"",""const"": true}},""required"": [""superset_of"",""subset_of"",""essential""]}",The userinfo_signing_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_signing_alg_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,failed,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_signing_alg_values_supported-wrong_value,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the userinfo_signing_alg_values_supported parameter is present in the openid_provider type and the does not contain the values ['none', 'HS256', 'HS384', 'HS512']",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain not valid values for the userinfo_signing_alg_values_supported parameter,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the userinfo_signing_alg_values_supported parameter inside the openid_provider type is checked. The must not contain the values ['none', 'HS256', 'HS384', 'HS512']",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.userinfo_signing_alg_values_supported | {""type"": ""object"",""properties"": {""superset_of"": {""not"": {""contains"": {""enum"": [""none"",""HS256"",""HS384"",""HS512""]}}},""subset_of"": {""not"": {""contains"": {""enum"": [""none"",""HS256"",""HS384"",""HS512""]}}}},""required"": [""superset_of"",""subset_of""]}",The userinfo_signing_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_signing_alg_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,F,failed,[SAME] Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_encryption_alg_values_supported-presence,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the userinfo_encryption_alg_values_supported parameter is present in the openid_provider type, not compliant if it is missing or empty",JWT parameter presence,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain the userinfo_encryption_alg_values_supported parameter,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the userinfo_encryption_alg_values_supported parameter inside the openid_provider type is checked.",TA,,Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.userinfo_encryption_alg_values_supported,The userinfo_encryption_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response ALL-BODY-PAYLOAD-metadata_policy_TA-value,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,Titolo non trovato,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_encryption_alg_values_supported-type,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the userinfo_encryption_alg_values_supported parameter is present in the openid_provider type and must be a JSON Object, not compliant if it is missing or empty",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain a correct userinfo_encryption_alg_values_supported parameter type,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the userinfo_encryption_alg_values_supported parameter inside the openid_provider type is checked. It must be a JSON Object.",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.userinfo_encryption_alg_values_supported | {""type"": ""object""}",The userinfo_encryption_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_encryption_alg_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,Titolo non trovato,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_encryption_alg_values_supported-value,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the userinfo_encryption_alg_values_supported parameter is present in the openid_provider type and contains the value superset_of=[""RSA-OAEP"", ""RSA-OAEP-256""], subset_of=[""RSA-OAEP"", ""RSA-OAEP-256"", ""ECDH-ES"", ""ECDH-ES+A128KW"", ""ECDH-ES+A256KW""] AND {""essential"":true}, not compliant if it is missing or empty",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain a correct userinfo_encryption_alg_values_supported parameter value,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the userinfo_encryption_alg_values_supported parameter inside the openid_provider type is checked. It must contain superset_of=[""RSA-OAEP"", ""RSA-OAEP-256""], subset_of=[""RSA-OAEP"", ""RSA-OAEP-256"", ""ECDH-ES"", ""ECDH-ES+A128KW"", ""ECDH-ES+A256KW""] AND {""essential"":true}",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.userinfo_encryption_alg_values_supported | {""type"": ""object"",""properties"": {""superset_of"": {""type"": ""array"",""items"": {""type"": ""string"",""enum"": [""RSA-OAEP"",""RSA-OAEP-256""]}},""subset_of"": {""type"": ""array"",""items"": {""type"": ""string"",""enum"": [""RSA-OAEP"",""RSA-OAEP-256"", ""ECDH-ES"", ""ECDH-ES+A128KW"", ""ECDH-ES+A256KW""]}},""essential"": {""type"": ""boolean"",""const"": true}},""required"": [""superset_of"",""subset_of"",""essential""]}",The userinfo_encryption_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_encryption_alg_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,failed,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_encryption_alg_values_supported-wrong_value,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the userinfo_encryption_alg_values_supported parameter is present in the openid_provider type and does not contain the value ['RSA_1_5'], not compliant otherwise",JWT parameter type,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain not valid values for the userinfo_encryption_alg_values_supported parameter,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the userinfo_encryption_alg_values_supported parameter inside the openid_provider type is checked. Must not contain the value ['RSA_1_5']",TA,,"Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.userinfo_encryption_alg_values_supported | {""type"": ""object"",""properties"": {""superset_of"": {""not"": {""contains"": {""enum"": [""RSA_1_5""]}}},""subset_of"": {""not"": {""contains"": {""enum"": [""RSA_1_5""]}}}},""required"": [""superset_of"",""subset_of""]}",The userinfo_encryption_alg_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_encryption_alg_values_supported-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,F,failed,[SAME] Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
x,TA-Entity Statement response OP-BODY-PAYLOAD-metadata_policy-userinfo_encryption_enc_values_supported-presence,Metadata policy in an Entity Statement issued by the TA,Entity Statement response TA OP,Trigger Entity Statement response TA OP,"Compliant if the userinfo_encryption_enc_values_supported parameter is present in the openid_provider type, not compliant otherwise",JWT parameter presence,Correct Input,Entity Statement response OP,Does the TA's metadata policy for an OP contain the userinfo_encryption_enc_values_supported parameter,"In order to check the compliance of a metadata policy issued by the TA, an entity statement for an OP must be fetched in the entity's fetch endpoint. Once obtained the entity statement, the metadata_policy parameter is taken and the presence of the userinfo_encryption_enc_values_supported parameter inside the openid_provider type is checked.",TA,,Entity Statement response TA OP | body | [^\r\n]* | payload | .metadata_policy.intermediary.userinfo_encryption_enc_values_supported,The userinfo_encryption_enc_values_supported claim MUST be considered in the metadata parameter of type 'openid_provider' within the policy that the TA establishes for an OP,SPID_CIE_OIDC#TA-Metadata-Policy-for-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_statement.html#metadata-policy,OIDC Federation,IT,TA-Entity Statement response ALL-BODY-PAYLOAD-metadata_policy_TA-value,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Problema implementazione,F,TBD,Titolo non trovato,Manca parametro. metadata_policy contiene solo openid_provider ma è vuoto
